license_id,customer,machine_code,issued_at,expires_at,max_users,modules,edition
LIC-2026-0001,测试客户,DOCKER-fa43c621,2026-07-28,2027-12-31,100,change|inventory|project,full
LIC-2026-0002,测试客户,DOCKER-a5b64da5,2026-07-28,2027-12-31,100,change|inventory|project,full
LIC-2026-0003,国军测试,DOCKER-a5b64da5,2026-07-28,2027-12-31,10,inventory|project,full
LIC-2026-0004,国军测试,DOCKER-a5b64da5,2026-07-28,2027-12-31,14,change|inventory|project,full
LIC-2026-0005,国军测试,DOCKER-a5b64da5,2026-07-28,2027-12-31,14,change|inventory|project,full
LIC-2026-0006,国军测试,DOCKER-a5b64da5,2026-07-28,2027-12-31,14,change|inventory|project,full
LIC-2026-0007,国军测试,DOCKER-a5b64da5,2026-07-28,2027-12-31,10,inventory|project,full
LIC-2026-0008,国军测试,DOCKER-a5b64da5,2026-07-28,2026-12-31,15,inventory|project,full
LIC-2026-0009,国军测试,DOCKER-a5b64da5,2026-07-28,2026-12-31,15,change|project,full
LIC-2026-0010,国军测试,DOCKER-a5b64da5,2026-07-28,2026-12-31,15,change|inventory|project,full
LIC-2026-0011,国军测试,DOCKER-a5b64da5,2026-07-28,2026-12-31,15,,basic
LIC-2026-0012,国军测试,DOCKER-a5b64da5,2026-07-28,2026-07-31,15,,basic
LIC-2026-0013,国军测试,DOCKER-a5b64da5,2026-07-28,2026-07-25,15,,basic
LIC-2026-0014,国军测试,DOCKER-a5b64da5,2026-07-28,2026-06-25,15,,basic
LIC-2026-0015,国军测试,DOCKER-a5b64da5,2026-07-28,2026-07-25,15,,basic
LIC-2026-0016,国军测试,862c4974-4d84e3d5-00000000,2026-07-28,2026-08-25,15,,basic
LIC-2026-0017,onegoPDM测试服,862c4974-4d84e3d5-00000000,2026-07-28,2026-08-25,15,,basic
LIC-2026-0018,onegoPDM测试服,862c4974-4d84e3d5-00000000,2026-07-28,2026-08-25,15,change|inventory|project,full
LIC-2026-0019,onegoPDM测试服,862c4974-4d84e3d5-00000000,2026-07-28,2099-08-25,15,change|inventory|project,full
LIC-2026-0020,国军测试服,DOCKER-a5b64da5,2026-08-01,2027-07-28,50,change|inventory|project,full
